Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1968-04-16,MNS,QF,6,,"Marcetta, Milan",MNS,4-3,LAK,1,9:11
1968-04-16,STL,QF,6,,"Blackburn, Don",PHI,2-1,STL,2,31:18
1968-04-22,MNS,SF,2,,"MacDonald, Parker",MNS,3-2,STL,1,3:41
1968-04-27,STL,SF,4,,"Sabourin, Gary",STL,4-3,MNS,1,1:32
1968-04-28,MTL,SF,5,x,"Lemaire, Jacques",MTL,4-3,CBH,1,2:14
1968-04-29,STL,SF,5,,"McCreary, Bill",STL,3-2,MNS,1,17:27
1968-05-03,STL,SF,7,x,"Schock, Ron",STL,2-1,MNS,2,22:50
1968-05-05,STL,F,1,,"Lemaire, Jacques",MTL,3-2,STL,1,1:41
1968-05-09,MTL,F,3,,"Rousseau, Bobby",MTL,4-3,STL,1,1:13
1969-04-02,OAK,QF,1,,"Irvine, Ted",LAK,5-4,OAK,1,0:19
1969-04-10,MTL,SF,1,,"Backstrom, Ralph",MTL,3-2,BOS,1,0:42
1969-04-13,MTL,SF,2,,"Redmond, Mickey",MTL,4-3,BOS,1,4:55
1969-04-24,BOS,SF,6,x,"Béliveau, Jean",MTL,2-1,BOS,2,31:28
1970-04-12,OAK,QF,4,x,"Briere, Michel",PIT,3-2,OAK,1,8:28
1970-05-10,BOS,F,4,x,"Orr, Bobby",BOS,4-3,STL,1,0:40
1971-04-15,TOR,QF,6,x,"Nevin, Bob",NYR,2-1,TOR,1,9:07
1971-04-18,CBH,SF,1,,"Stemkowski, Pete",NYR,2-1,CBH,1,1:37
1971-04-27,CBH,SF,5,,"Hull, Bobby",CBH,3-2,NYR,1,6:35
1971-04-29,NYR,SF,6,,"Stemkowski, Pete",NYR,3-2,CBH,3,41:29
1971-05-04,CBH,F,1,,"Pappin, Jim",CBH,2-1,MTL,2,21:11
1972-04-06,BOS,QF,2,,"Harrison, Jim",TOR,4-3,BOS,1,2:58
1972-04-06,MNS,QF,2,,"Goldsworthy, Bill",MNS,6-5,STL,1,1:36
1972-04-09,PIT,QF,4,x,"Martin, Pit",CBH,6-5,PIT,1,0:12
1972-04-16,MNS,QF,7,x,"O'Shea, Kevin",STL,2-1,MNS,1,10:07
1973-04-10,MTL,QF,5,,"Robert, René",BUF,3-2,MTL,1,9:18
