Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
2006-05-10,BUF,CSF,3,,"Dumont, J.P.",BUF,3-2,OTT,1,5:05
2006-05-10,EDM,CSF,3,,"Horcoff, Shawn",EDM,3-2,SJS,3,42:24
2006-05-13,OTT,CSF,5,x,"Pominville, Jason",BUF,3-2,OTT,1,2:26
2006-05-28,CAR,CF,5,,"Stillman, Cory",CAR,4-3,BUF,1,8:46
2006-05-30,BUF,CF,6,,"Brière, Daniel",BUF,2-1,CAR,1,4:22
2006-06-14,CAR,F,5,,"Pisani, Fernando",EDM,4-3,CAR,1,3:31
2007-04-11,NSH,CQF,1,,"Rissmiller, Patrick",SJS,5-4,NSH,2,28:14
2007-04-11,VAN,CQF,1,,"Sedin, Henrik",VAN,5-4,DAL,4,78:06
2007-04-15,DAL,CQF,3,,"Pyatt, Taylor",VAN,2-1,DAL,1,7:47
2007-04-18,TBL,CQF,4,,"Gomez, Scott",NJD,4-3,TBL,1,12:54
2007-04-19,VAN,CQF,5,,"Morrow, Brenden",DAL,1-0,VAN,1,6:22
2007-04-22,CGY,CQF,6,x,"Franzén, Johan",DET,2-1,CGY,2,24:23
2007-04-27,ANA,CSF,2,,"Cowan, Jeff",VAN,2-1,ANA,2,27:49
2007-04-28,NJD,CSF,2,,"Langenbrunner, Jamie",NJD,3-2,OTT,2,21:55
2007-04-29,NYR,CSF,3,,"Rozsíval, Michal",NYR,2-1,BUF,2,36:43
2007-05-01,VAN,CSF,4,,"Moen, Travis",ANA,3-2,VAN,1,2:07
2007-05-02,SJS,CSF,4,,"Schneider, Mathieu",DET,3-2,SJS,1,16:04
2007-05-03,ANA,CSF,5,x,"Niedermayer, Scott",ANA,2-1,VAN,2,24:30
2007-05-04,BUF,CSF,5,,"Afinogenov, Maxim",BUF,2-1,NYR,1,4:39
2007-05-12,BUF,CF,2,,"Corvo, Joe",OTT,4-3,BUF,2,24:58
2007-05-13,DET,CF,2,,"Niedermayer, Scott",ANA,4-3,DET,1,14:17
2007-05-19,BUF,CF,5,x,"Alfredsson, Daniel",OTT,3-2,BUF,1,9:32
2007-05-20,DET,CF,5,,"Selänne, Teemu",ANA,2-1,DET,1,11:57
2008-04-09,MIN,CQF,1,,"Sakic, Joe",COL,3-2,MIN,1,11:11
2008-04-11,MIN,CQF,2,,"Carney, Keith",MIN,3-2,COL,1,1:14
2008-04-12,MTL,CQF,2,,"Kovalev, Alex",MTL,3-2,BOS,1,2:30
2008-04-13,BOS,CQF,3,,"Savard, Marc",BOS,2-1,MTL,1,9:25
2008-04-13,NYR,CQF,3,,"Madden, John",NJD,4-3,NYR,1,6:01
2008-04-14,COL,CQF,3,,"Bouchard, Pierre-Marc",MIN,3-2,COL,1,11:58
2008-04-17,PHI,CQF,4,,"Knuble, Mike",PHI,4-3,WSH,2,26:40
2008-04-18,DET,CQF,5,,"Franzén, Johan",DET,2-1,NSH,1,1:48
2008-04-22,WSH,CQF,7,x,"Lupul, Joffrey",PHI,3-2,WSH,1,6:06
2008-04-24,MTL,CSF,1,,"Kostopoulos, Tom",MTL,4-3,PHI,1,0:48
2008-04-25,SJS,CSF,1,,"Morrow, Brenden",DAL,3-2,SJS,1,4:39
2008-04-29,DAL,CSF,3,,"Norström, Mattias",DAL,2-1,SJS,1,4:37
2008-05-02,SJS,CSF,5,,"Pavelski, Joe",SJS,3-2,DAL,1,1:05
2008-05-04,DAL,CSF,6,x,"Morrow, Brenden",DAL,2-1,SJS,4,69:03
2008-05-04,PIT,CSF,5,x,"Hossa, Marián",PIT,3-2,NYR,1,7:10
2008-06-02,DET,F,5,,"Sýkora, Petr",PIT,4-3,DET,3,49:57
2009-04-16,CHI,CQF,1,,"Havlát, Martin",CHI,3-2,CGY,1,0:12
2009-04-17,NJD,CQF,2,,"Gleason, Tim",CAR,2-1,NJD,1,2:40
2009-04-17,PIT,CQF,2,,"Guerin, Bill",PIT,3-2,PHI,1,18:29
2009-04-19,CAR,CQF,3,,"Zajac, Travis",NJD,3-2,CAR,1,4:58
2009-04-21,STL,CQF,4,x,"Burrows, Alexandre",VAN,3-2,STL,1,19:41
2009-04-25,SJS,CQF,5,,"Marleau, Patrick",SJS,3-2,ANA,1,6:02
2009-05-03,DET,CSF,2,,"Marchant, Todd",ANA,4-3,DET,3,41:15
2009-05-06,CAR,CSF,3,,"Jokinen, Jussi",CAR,3-2,BOS,1,2:48
2009-05-06,PIT,CSF,3,,"Letang, Kris",PIT,3-2,WSH,1,11:23
2009-05-07,CHI,CSF,4,,"Ladd, Andrew",CHI,2-1,VAN,1,2:52
2009-05-09,WSH,CSF,5,,"Malkin, Evgeni",PIT,4-3,WSH,1,3:28
2009-05-11,PIT,CSF,6,,"Steckel, David",WSH,5-4,PIT,1,6:22
2009-05-14,BOS,CSF,7,x,"Walker, Scott",CAR,3-2,BOS,1,18:46
2009-05-19,DET,CF,2,,"Samuelsson, Mikael",DET,3-2,CHI,1,5:14
2009-05-22,CHI,CF,3,,"Sharp, Patrick",CHI,4-3,DET,1,1:52
2009-05-27,DET,CF,5,x,"Helm, Darren",DET,2-1,CHI,1,3:58
2010-04-15,VAN,CQF,1,,"Samuelsson, Mikael",VAN,3-2,LAK,1,8:52
2010-04-15,WSH,CQF,1,,"Plekanec, Tomáš",MTL,3-2,WSH,1,13:19
2010-04-16,SJS,CQF,2,,"Setoguchi, Devin",SJS,6-5,COL,1,5:22
2010-04-17,VAN,CQF,2,,"Kopitar, Anže",LAK,3-2,VAN,1,7:28
2010-04-17,WSH,CQF,2,,"Bäckström, Nicklas",WSH,6-5,MTL,1,0:31
2010-04-18,COL,CQF,3,,"O'Reilly, Ryan",COL,1-0,SJS,1,0:51
2010-04-18,PHI,CQF,3,,"Carcillo, Daniel",PHI,3-2,NJD,1,3:35
2010-04-20,COL,CQF,4,,"Pavelski, Joe",SJS,2-1,COL,1,10:24
2010-04-21,BOS,CQF,4,,"Šatan, Miroslav",BOS,3-2,BUF,2,27:41
2010-04-22,PIT,CQF,5,,"Carkner, Matt",OTT,4-3,PIT,3,47:06
2010-04-24,CHI,CQF,5,,"Hossa, Marián",CHI,5-4,NSH,1,4:07
2010-04-24,OTT,CQF,6,x,"Dupuis, Pascal",PIT,4-3,OTT,1,9:56
2010-05-01,BOS,CSF,1,,"Savard, Marc",BOS,5-4,PHI,1,13:52
2010-05-04,DET,CSF,3,,"Marleau, Patrick",SJS,4-3,DET,1,7:07
2010-05-07,PHI,CSF,4,,"Gagné, Simon",PHI,5-4,BOS,1,14:40
2010-05-21,CHI,CF,3,,"Byfuglien, Dustin",CHI,3-2,SJS,1,12:24
2010-06-02,PHI,F,3,,"Giroux, Claude",PHI,4-3,CHI,1,5:59
2010-06-09,PHI,F,6,x,"Kane, Patrick",CHI,4-3,PHI,1,4:06
2011-04-13,WSH,CQF,1,,"Semin, Alexander",WSH,2-1,NYR,1,18:24
2011-04-14,SJS,CQF,1,,"Pavelski, Joe",SJS,3-2,LAK,1,14:44
2011-04-19,LAK,CQF,3,,"Setoguchi, Devin",SJS,6-5,LAK,1,3:09
2011-04-20,NYR,CQF,4,,"Chimera, Jason",WSH,4-3,NYR,2,32:36
2011-04-20,TBL,CQF,4,,"Neal, James",PIT,3-2,TBL,2,23:38
2011-04-21,MTL,CQF,4,,"Ryder, Michael",BOS,5-4,MTL,1,1:59
2011-04-22,ANA,CQF,5,,"Smithson, Jerred",NSH,4-3,ANA,1,1:57
2011-04-22,PHI,CQF,5,,"Ennis, Tyler",BUF,4-3,PHI,1,5:31
2011-04-23,BOS,CQF,5,,"Horton, Nathan",BOS,2-1,MTL,2,29:03
2011-04-24,BUF,CQF,6,,"Leino, Ville",PHI,5-4,BUF,1,4:43
2011-04-24,CHI,CQF,6,,"Smith, Ben",CHI,4-3,VAN,1,15:30
2011-04-25,LAK,CQF,6,x,"Thornton, Joe",SJS,4-3,LAK,1,2:22
2011-04-26,VAN,CQF,7,x,"Burrows, Alexandre",VAN,2-1,CHI,1,5:22
2011-04-27,BOS,CQF,7,x,"Horton, Nathan",BOS,4-3,MTL,1,5:43
2011-04-29,SJS,CSF,1,,"Ferriero, Benn",SJS,2-1,DET,1,7:03
2011-04-30,VAN,CSF,2,,"Halischuk, Matt",NSH,2-1,VAN,2,34:51
2011-05-01,WSH,CSF,2,,"Lecavalier, Vincent",TBL,3-2,WSH,1,6:19
2011-05-02,PHI,CSF,2,,"Krejčí, David",BOS,3-2,PHI,1,14:00
2011-05-03,NSH,CSF,3,,"Kesler, Ryan",VAN,3-2,NSH,1,10:49
2011-05-04,DET,CSF,3,,"Setoguchi, Devin",SJS,4-3,DET,1,9:21
2011-05-24,VAN,CF,5,x,"Bieksa, Kevin",VAN,3-2,SJS,2,30:18
2011-06-04,VAN,F,2,,"Burrows, Alexandre",VAN,3-2,BOS,1,0:11
2012-04-11,PIT,CQF,1,,"Voráček, Jakub",PHI,4-3,PIT,1,2:23
2012-04-12,BOS,CQF,1,,"Kelly, Chris",BOS,1-0,WSH,1,1:18
2012-04-12,PHX,CQF,1,,"Hanzal, Martin",PHX,3-2,CHI,1,9:29
2012-04-12,STL,CQF,1,,"Havlát, Martin",SJS,3-2,STL,2,23:34
2012-04-14,BOS,CQF,2,,"Bäckström, Nicklas",WSH,2-1,BOS,2,22:56
2012-04-14,NYR,CQF,2,,"Neil, Chris",OTT,3-2,NYR,1,1:17
2012-04-14,PHX,CQF,2,,"Bickell, Bryan",CHI,4-3,PHX,1,10:36
2012-04-17,CHI,CQF,3,,"Bødker, Mikkel",PHX,3-2,CHI,1,13:15
2012-04-18,OTT,CQF,4,,"Turris, Kyle",OTT,3-2,NYR,1,2:42
2012-04-19,CHI,CQF,4,,"Bødker, Mikkel",PHX,3-2,CHI,1,2:15
2012-04-21,PHX,CQF,5,,"Toews, Jonathan",CHI,2-1,PHX,1,2:44
2012-04-22,VAN,CQF,5,x,"Stoll, Jarret",LAK,2-1,VAN,1,4:27
2012-04-22,WSH,CQF,6,,"Seguin, Tyler",BOS,4-3,WSH,1,3:17
2012-04-24,NJD,CQF,6,,"Zajac, Travis",NJD,3-2,FLA,1,5:39
2012-04-25,BOS,CQF,7,x,"Ward, Joel",WSH,2-1,BOS,1,2:57
2012-04-26,FLA,CQF,7,x,"Henrique, Adam",NJD,3-2,FLA,2,23:47
2012-04-27,PHX,CSF,1,,"Whitney, Ray",PHX,4-3,NSH,1,14:04
2012-04-29,PHI,CSF,1,,"Brière, Daniel",PHI,4-3,NJD,1,4:36
2012-05-02,WSH,CSF,3,,"Gáborík, Marián",NYR,2-1,WSH,3,54:41
2012-05-03,NJD,CSF,3,,"Ponikarovsky, Alexei",NJD,4-3,PHI,1,17:21
2012-05-07,NYR,CSF,5,,"Staal, Marc",NYR,3-2,WSH,1,1:35
2012-05-22,PHX,CF,5,x,"Penner, Dustin",LAK,4-3,PHX,1,17:42
2012-05-25,NJD,CF,6,x,"Henrique, Adam",NJD,3-2,NYR,1,1:03
2012-05-30,NJD,F,1,,"Kopitar, Anže",LAK,2-1,NJD,1,8:13
2012-06-02,NJD,F,2,,"Carter, Jeff",LAK,2-1,NJD,1,13:42
2013-04-30,CHI,CQF,1,,"Bickell, Bryan",CHI,2-1,MIN,1,16:35
2013-04-30,STL,CQF,1,,"Steen, Alexander",STL,2-1,LAK,1,13:26
2013-05-02,ANA,CQF,2,,"Nyquist, Gustav",DET,5-4,ANA,1,1:21
2013-05-03,VAN,CQF,2,,"Torres, Raffi",SJS,3-2,VAN,1,5:31
2013-05-04,WSH,CQF,2,,"Green, Mike",WSH,1-0,NYR,1,8:00
2013-05-05,MIN,CQF,3,,"Zucker, Jason",MIN,3-2,CHI,1,2:15
2013-05-05,NYI,CQF,3,,"Kunitz, Chris",PIT,5-4,NYI,1,8:44
2013-05-06,DET,CQF,4,,"Brunner, Damien",DET,3-2,ANA,1,15:10
2013-05-07,OTT,CQF,4,,"Turris, Kyle",OTT,3-2,MTL,1,2:32
2013-05-07,SJS,CQF,4,x,"Marleau, Patrick",SJS,4-3,VAN,1,13:18
2013-05-08,ANA,CQF,5,,"Bonino, Nick",ANA,3-2,DET,1,1:54
2013-05-08,STL,CQF,5,,"Voynov, Slava",LAK,3-2,STL,1,8:00
2013-05-08,TOR,CQF,4,,"Krejčí, David",BOS,4-3,TOR,1,13:06
2013-05-10,DET,CQF,6,,"Zetterberg, Henrik",DET,4-3,ANA,1,1:04
2013-05-10,WSH,CQF,5,,"Ribeiro, Mike",WSH,2-1,NYR,1,9:24
2013-05-11,NYI,CQF,6,x,"Orpik, Brooks",PIT,4-3,NYI,1,7:49
2013-05-13,BOS,CQF,7,x,"Bergeron, Patrice",BOS,5-4,TOR,1,6:05
2013-05-16,BOS,CSF,1,,"Marchand, Brad",BOS,3-2,NYR,1,15:40
2013-05-18,SJS,CSF,3,,"Couture, Logan",SJS,2-1,LAK,1,1:29
2013-05-19,OTT,CSF,3,,"Greening, Colin",OTT,2-1,PIT,2,27:39
2013-05-23,NYR,CSF,4,,"Kreider, Chris",NYR,4-3,BOS,1,7:03
2013-05-29,CHI,CSF,7,x,"Seabrook, Brent",CHI,2-1,DET,1,3:35
2013-06-05,BOS,CF,3,,"Bergeron, Patrice",BOS,2-1,PIT,2,35:19
2013-06-08,CHI,CF,5,x,"Kane, Patrick",CHI,4-3,LAK,2,31:40
2013-06-12,CHI,F,1,,"Shaw, Andrew",CHI,4-3,BOS,3,52:08
2013-06-15,CHI,F,2,,"Paille, Daniel",BOS,2-1,CHI,1,13:48
2013-06-19,BOS,F,4,,"Seabrook, Brent",CHI,6-5,BOS,1,9:51
2014-04-16,TBL,FR,1,,"Weise, Dale",MTL,5-4,TBL,1,18:08
2014-04-17,COL,FR,1,,"Stastny, Paul",COL,5-4,MIN,1,7:27
2014-04-17,STL,FR,1,,"Steen, Alexander",STL,4-3,CHI,3,40:26
2014-04-19,PIT,FR,2,,"Calvert, Matt",CBJ,4-3,PIT,2,21:10
2014-04-19,STL,FR,2,,"Jackman, Barret",STL,4-3,CHI,1,5:50
2014-04-21,MIN,FR,3,,"Granlund, Mikael",MIN,1-0,COL,1,5:08
2014-04-22,LAK,FR,3,,"Marleau, Patrick",SJS,4-3,LAK,1,6:20
2014-04-23,CBJ,FR,4,,"Foligno, Nick",CBJ,4-3,PIT,1,2:49
2014-04-23,CHI,FR,4,,"Kane, Patrick",CHI,4-3,STL,1,11:17
2014-04-24,DET,FR,4,,"Iginla, Jarome",BOS,3-2,DET,1,13:32
2014-04-25,STL,FR,5,,"Toews, Jonathan",CHI,3-2,STL,1,7:36
2014-04-26,COL,FR,5,,"MacKinnon, Nathan",COL,4-3,MIN,1,3:27
2014-04-27,DAL,FR,6,x,"Bonino, Nick",ANA,5-4,DAL,1,2:47
2014-04-30,COL,FR,7,x,"Niederreiter, Nino",MIN,5-4,COL,1,5:02
2014-05-01,BOS,SR,1,,"Subban, P.K.",MTL,4-3,BOS,2,24:17
2014-05-02,PIT,SR,1,,"Brassard, Derick",NYR,3-2,PIT,1,3:06
2014-05-03,ANA,SR,1,,"Gáborík, Marián",LAK,3-2,ANA,1,12:07
2014-05-08,MTL,SR,4,,"Fraser, Matt",BOS,1-0,MTL,1,1:19
2014-05-13,MIN,SR,6,x,"Kane, Patrick",CHI,2-1,MIN,1,9:42
2014-05-22,NYR,CF,3,,"Galchenyuk, Alex",MTL,3-2,NYR,1,1:12
2014-05-25,NYR,CF,4,,"St. Louis, Martin",NYR,3-2,MTL,1,6:02
2014-05-28,CHI,CF,5,,"Handzuš, Michal",CHI,5-4,LAK,2,22:04
2014-06-01,CHI,CF,7,x,"Martinez, Alec",LAK,5-4,CHI,1,5:47
2014-06-04,LAK,F,1,,"Williams, Justin",LAK,3-2,NYR,1,4:36
2014-06-07,LAK,F,2,,"Brown, Dustin",LAK,5-4,NYR,2,30:26
2014-06-13,LAK,F,5,x,"Martinez, Alec",LAK,3-2,NYR,2,34:43
2015-04-15,NSH,FR,1,,"Keith, Duncan",CHI,4-3,NSH,2,27:49
2015-04-17,MTL,FR,2,,"Galchenyuk, Alex",MTL,3-2,OTT,1,3:40
2015-04-19,NYI,FR,3,,"Tavares, John",NYI,2-1,WSH,1,0:15
2015-04-19,OTT,FR,3,,"Weise, Dale",MTL,2-1,OTT,1,8:47
2015-04-20,WPG,FR,3,,"Rakell, Rickard",ANA,5-4,WPG,1,5:12
2015-04-21,CHI,FR,4,,"Seabrook, Brent",CHI,3-2,NSH,3,41:00
2015-04-21,NYI,FR,4,,"Bäckström, Nicklas",WSH,2-1,NYI,1,11:09
2015-04-22,PIT,FR,4,,"Hayes, Kevin",NYR,2-1,PIT,1,3:14
2015-04-23,DET,FR,4,,"Johnson, Tyler",TBL,3-2,DET,1,2:25
2015-04-24,NYR,FR,5,x,"Hagelin, Carl",NYR,2-1,PIT,1,10:52
2015-05-01,MTL,SR,1,,"Kucherov, Nikita",TBL,2-1,MTL,2,22:06
2015-05-05,CGY,SR,3,,"Backlund, Mikael",CGY,4-3,ANA,1,4:24
2015-05-08,NYR,SR,5,,"McDonagh, Ryan",NYR,2-1,WSH,1,9:37
2015-05-10,ANA,SR,5,x,"Perry, Corey",ANA,3-2,CGY,1,2:26
2015-05-13,NYR,SR,7,x,"Stepan, Derek",NYR,2-1,WSH,1,11:24
2015-05-19,ANA,CF,2,,"Krüger, Marcus",CHI,3-2,ANA,3,56:12
2015-05-20,TBL,CF,3,,"Kucherov, Nikita",TBL,6-5,NYR,1,3:33
2015-05-23,CHI,CF,4,,"Vermette, Antoine",CHI,5-4,ANA,2,25:37
2015-05-25,ANA,CF,5,,"Beleskey, Matt",ANA,5-4,CHI,1,0:45
2016-04-13,STL,FR,1,,"Backes, David",STL,1-0,CHI,1,9:04
2016-04-17,NYI,FR,3,,"Hickey, Thomas",NYI,4-3,FLA,1,12:31
2016-04-18,SJS,FR,3,,"Pearson, Tanner",LAK,2-1,SJS,1,3:47
2016-04-21,STL,FR,5,,"Kane, Patrick",CHI,4-3,STL,2,23:07
2016-04-22,DAL,FR,5,,"Koivu, Mikko",MIN,5-4,DAL,1,4:55
2016-04-22,FLA,FR,5,,"Quine, Alan",NYI,2-1,FLA,2,36:00
2016-04-24,NYI,FR,6,x,"Tavares, John",NYI,2-1,FLA,2,30:41
2016-04-28,WSH,SR,1,,"Oshie, T.J.",WSH,4-3,PIT,1,9:33
2016-05-01,DAL,SR,2,,"Backes, David",STL,4-3,DAL,1,10:58
2016-05-03,NYI,SR,3,,"Boyle, Brian",TBL,5-4,NYI,1,2:48
2016-05-04,PIT,SR,4,,"Hörnqvist, Patric",PIT,3-2,WSH,1,2:34
2016-05-05,NSH,SR,4,,"Fisher, Mike",NSH,4-3,SJS,3,51:12
2016-05-05,STL,SR,4,,"Eakin, Cody",DAL,3-2,STL,1,2:58
2016-05-06,NYI,SR,4,,"Garrison, Jason",TBL,2-1,NYI,1,1:34
2016-05-09,NSH,SR,6,,"Arvidsson, Viktor",NSH,4-3,SJS,1,2:03
2016-05-10,PIT,SR,6,x,"Bonino, Nick",PIT,4-3,WSH,1,6:32
2016-05-16,PIT,CF,2,,"Crosby, Sidney",PIT,3-2,TBL,1,0:40
2016-05-22,PIT,CF,5,,"Johnson, Tyler",TBL,4-3,PIT,1,0:53
2016-06-01,PIT,F,2,,"Sheary, Conor",PIT,2-1,SJS,1,2:35
2016-06-04,SJS,F,3,,"Donskoi, Joonas",SJS,3-2,PIT,1,12:18
2017-04-12,EDM,FR,1,,"Karlsson, Melker",SJS,3-2,EDM,1,3:22
2017-04-12,MIN,FR,1,,"Edmundson, Joel",STL,2-1,MIN,1,17:48
2017-04-13,WSH,FR,1,,"Wilson, Tom",WSH,3-2,TOR,1,5:15
2017-04-14,MTL,FR,2,,"Radulov, Alexander",MTL,4-3,NYR,1,18:34
2017-04-15,OTT,FR,2,,"Phaneuf, Dion",OTT,4-3,BOS,1,1:59
2017-04-15,WSH,FR,2,,"Kapanen, Kasperi",TOR,4-3,WSH,2,31:53
2017-04-16,CBJ,FR,3,,"Guentzel, Jake",PIT,5-4,CBJ,1,13:10
2017-04-17,BOS,FR,3,,"Ryan, Bobby",OTT,4-3,BOS,1,5:43
2017-04-17,CGY,FR,3,,"Perry, Corey",ANA,5-4,CGY,1,1:30
2017-04-17,NSH,FR,3,,"Fiala, Kevin",NSH,3-2,CHI,1,16:44
2017-04-17,TOR,FR,3,,"Bozak, Tyler",TOR,4-3,WSH,1,1:37
2017-04-20,EDM,FR,5,,"Desharnais, David",EDM,4-3,SJS,1,18:15
2017-04-20,MTL,FR,5,,"Zibanejad, Mika",NYR,3-2,MTL,1,14:22
2017-04-21,OTT,FR,5,,"Kuraly, Sean",BOS,3-2,OTT,2,30:19
2017-04-21,WSH,FR,5,,"Williams, Justin",WSH,2-1,TOR,1,1:04
2017-04-22,MIN,FR,5,x,"Pääjärvi, Magnus",STL,4-3,MIN,1,9:42
2017-04-23,BOS,FR,6,x,"MacArthur, Clarke",OTT,3-2,BOS,1,6:30
2017-04-23,TOR,FR,6,x,"Johansson, Marcus",WSH,2-1,TOR,1,6:31
2017-04-29,OTT,SR,2,,"Pageau, Jean-Gabriel",OTT,6-5,NYR,2,22:54
2017-05-01,PIT,SR,3,,"Shattenkirk, Kevin",WSH,3-2,PIT,1,3:13
2017-05-03,EDM,SR,4,,"Silfverberg, Jakob",ANA,4-3,EDM,1,0:45
2017-05-05,ANA,SR,5,,"Perry, Corey",ANA,4-3,EDM,2,26:57
2017-05-06,OTT,SR,5,,"Turris, Kyle",OTT,5-4,NYR,1,6:28
2017-05-12,ANA,CF,1,,"Neal, James",NSH,3-2,ANA,1,9:24
2017-05-13,PIT,CF,1,,"Ryan, Bobby",OTT,2-1,PIT,1,4:59
2017-05-18,NSH,CF,4,,"Perry, Corey",ANA,3-2,NSH,1,10:25
2017-05-25,PIT,CF,7,x,"Kunitz, Chris",PIT,3-2,OTT,2,25:09
2018-04-12,WSH,FR,1,,"Panarin, Artemi",CBJ,4-3,WSH,1,6:02
2018-04-13,VEG,FR,2,,"Haula, Erik",VEG,2-1,LAK,2,35:23
2018-04-15,WSH,FR,2,,"Calvert, Matt",CBJ,5-4,WSH,1,12:22
2018-04-17,CBJ,FR,3,,"Eller, Lars",WSH,3-2,CBJ,2,29:00
2018-04-21,WSH,FR,5,,"Bäckström, Nicklas",WSH,4-3,CBJ,1,11:53
2018-04-28,VEG,SR,2,,"Couture, Logan",SJS,4-3,VEG,2,25:13
2018-04-29,NSH,SR,2,,"Fiala, Kevin",NSH,5-4,WPG,2,25:37
2018-04-30,SJS,SR,3,,"Karlsson, William",VEG,4-3,SJS,1,8:17
2018-05-04,BOS,SR,4,,"Girardi, Dan",TBL,4-3,BOS,1,3:18
2018-05-07,PIT,SR,6,x,"Kuznetsov, Evgeny",WSH,2-1,PIT,1,5:27
2019-04-10,Uniondale,FR,1,,"Bailey, Josh",NYI,4-3,PIT,1,4:39
2019-04-13,CGY,FR,2,,"MacKinnon, Nathan",COL,3-2,CGY,1,8:27
2019-04-13,NSH,FR,2,,"Smith, Craig",NSH,2-1,DAL,1,5:00
2019-04-13,WSH,FR,2,,"Orpik, Brooks",WSH,4-3,CAR,1,1:48
2019-04-16,STL,FR,4,,"Connor, Kyle",WPG,2-1,STL,1,6:02
2019-04-17,COL,FR,4,,"Rantanen, Mikko",COL,3-2,CGY,1,10:23
2019-04-21,VEG,FR,6,,"Hertl, Tomáš",SJS,2-1,VEG,2,31:17
2019-04-22,DAL,FR,6,x,"Klingberg, John",DAL,2-1,NSH,1,17:02
2019-04-23,SJS,FR,7,x,"Goodrow, Barclay",SJS,5-4,VEG,1,18:19
2019-04-24,WSH,FR,7,x,"McGinn, Brock",CAR,4-3,WSH,2,31:05
2019-04-25,BOS,SR,1,,"Coyle, Charlie",BOS,3-2,CBJ,1,5:15
2019-04-26,NYI,SR,1,,"Staal, Jordan",CAR,1-0,NYI,1,4:04
2019-04-27,BOS,SR,2,,"Duchene, Matt",CBJ,3-2,BOS,2,23:42
2019-05-06,COL,SR,6,,"Landeskog, Gabriel",COL,4-3,SJS,1,2:32
2019-05-07,STL,SR,7,x,"Maroon, Pat",STL,2-1,DAL,2,25:50
2019-05-15,STL,CF,3,,"Karlsson, Erik",SJS,5-4,STL,1,5:23
2019-05-29,BOS,F,2,,"Gunnarsson, Carl",STL,3-2,BOS,1,3:51
2020-08-01,Toronto,QUR,1,,"Petry, Jeff",MTL,3-2,PIT,1,13:57
2020-08-06,Toronto,QUR,3,,"Dubois, Pierre-Luc",CBJ,4-3,TOR,1,18:24
2020-08-07,Edmonton,QUR,4,x,"Richardson, Brad",ARI,4-3,NSH,1,5:27
2020-08-07,Toronto,QUR,4,,"Matthews, Auston",TOR,4-3,CBJ,1,13:10
2020-08-07,Edmonton,QUR,4,x,"Tanev, Chris",VAN,5-4,MIN,1,0:11
2020-08-11,Toronto,FR,1,,"Point, Brayden",TBL,3-2,CBJ,5,90:27
2020-08-12,Toronto,FR,1,,"Bergeron, Patrice",BOS,4-3,CAR,2,21:13
2020-08-13,Edmonton,FR,2,,"Smith, Reilly",VEG,4-3,CHI,1,7:13
2020-08-14,Edmonton,FR,2,,"Horvat, Bo",VAN,4-3,STL,1,5:55
2020-08-16,Edmonton,FR,4,,"Radulov, Alexander",DAL,5-4,CGY,1,16:05
2020-08-16,Toronto,FR,3,,"Barzal, Mathew",NYI,2-1,WSH,1,4:28
2020-08-16,Edmonton,FR,3,,"Schenn, Brayden",STL,3-2,VAN,1,15:06
2020-08-19,Toronto,FR,5,x,"Point, Brayden",TBL,5-4,CBJ,1,5:12
2020-08-25,Toronto,SR,2,,"Palát, Ondřej",TBL,4-3,BOS,1,4:40
2020-08-26,Toronto,SR,2,,"Myers, Philippe",PHI,4-3,NYI,1,2:41
2020-08-31,Toronto,SR,5,x,"Hedman, Victor",TBL,3-2,BOS,2,34:10
2020-09-01,Toronto,SR,5,,"Laughton, Scott",PHI,4-3,NYI,1,12:20
2020-09-03,Toronto,SR,6,,"Provorov, Ivan",PHI,5-4,NYI,2,35:03
2020-09-04,Edmonton,SR,7,x,"Kiviranta, Joel",DAL,5-4,COL,1,7:24
2020-09-10,Edmonton,CF,3,,"Radulov, Alexander",DAL,3-2,VEG,1,0:31
2020-09-14,Edmonton,CF,5,x,"Gurianov, Denis",DAL,3-2,VEG,1,3:36
2020-09-15,Edmonton,CF,5,,"Eberle, Jordan",NYI,2-1,TBL,2,32:30
2020-09-17,Edmonton,CF,6,x,"Cirelli, Anthony",TBL,2-1,NYI,1,13:18
2020-09-25,Edmonton,F,4,,"Shattenkirk, Kevin",TBL,5-4,DAL,1,6:34
2020-09-26,Edmonton,F,5,,"Perry, Corey",DAL,3-2,TBL,2,29:23
2021-05-15,WSH,FR,1,,"Dowd, Nic",WSH,3-2,BOS,1,4:41
2021-05-16,PIT,FR,1,,"Palmieri, Kyle",NYI,4-3,PIT,1,16:30
2021-05-16,VEG,FR,1,,"Eriksson Ek, Joel",MIN,1-0,VEG,1,3:20
2021-05-17,WSH,FR,2,,"Marchand, Brad",BOS,4-3,WSH,1,0:39
2021-05-19,BOS,FR,3,,"Smith, Craig",BOS,3-2,WSH,2,25:48
2021-05-20,TBL,FR,3,,"Lomberg, Ryan",FLA,6-5,TBL,1,5:56
2021-05-21,EDM,FR,2,,"Stastny, Paul",WPG,1-0,EDM,1,4:06
2021-05-21,NSH,FR,3,,"Duchene, Matt",NSH,5-4,CAR,2,34:54
2021-05-23,NSH,FR,4,,"Kunin, Luke",NSH,4-3,CAR,2,36:10
2021-05-23,WPG,FR,3,,"Ehlers, Nikolaj",WPG,5-4,EDM,1,9:13
2021-05-24,PIT,FR,5,,"Bailey, Josh",NYI,3-2,PIT,2,20:51
