Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Edmonton Oilers*,29-14-13,.634,56,35,19,2,72,.643,183,154,0.44,-0.08,.625,31
Winnipeg Jets*,31-19-6,.607,56,30,23,3,63,.563,170,154,0.25,-0.04,.554,24
Montreal Canadiens*,24-23-9,.509,56,24,21,11,59,.527,159,168,-0.14,0.02,.446,20
Calgary Flames,20-21-15,.491,56,26,27,3,55,.491,156,161,-0.08,0.01,.464,22
Ottawa Senators,22-27-7,.455,56,23,28,5,51,.455,157,190,-0.51,0.08,.402,18
Vancouver Canucks,18-28-10,.411,56,23,29,4,50,.446,151,188,-0.56,0.10,.393,17
Colorado Avalanche*,17-29-10,.393,West Division,56,39,13,4,82,.732,197,133,1.00,-0.14,.705
Vegas Golden Knights*,35,35-13-8,.696,56,40,14,2,82,.732,191,124,1.05,-0.15,.723
Minnesota Wild*,30,30-14-12,.643,56,35,16,5,75,.670,181,160,0.33,-0.05,.625
St. Louis Blues*,27,27-16-13,.598,56,27,20,9,63,.563,169,170,-0.02,0.00,.491
Arizona Coyotes,19,19-20-17,.491,56,24,26,6,54,.482,153,176,-0.36,0.05,.420
Los Angeles Kings,19,19-26-11,.438,56,21,28,7,49,.438,143,170,-0.42,0.06,.375
San Jose Sharks,19,19-28-9,.420,56,21,28,7,49,.438,151,199,-0.75,0.11,.357
Anaheim Ducks,15,15-28-13,.384,56,17,30,9,43,.384,126,179,-0.83,0.12,.304
