Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
477,Arthur Kaliyev,22,LAK,RW,51,7,8,15,-3,14,1.1,4,3,0,0,7,1,0,101,6.9,602,11:48,14,33,0,1,0.0,kaliyar01
478,Kevin Korchinski,19,CHI,D,76,5,10,15,-39,20,1.6,5,0,0,2,3,7,0,93,5.4,1491,19:37,82,26,0,0,,korchke01
479,Dominik Kubalík,28,OTT,LW,74,11,4,15,-30,19,0.0,7,4,0,2,4,0,0,91,12.1,897,12:07,20,55,15,22,40.5,kubaldo01
480,Blake Lizotte,26,LAK,C,62,7,8,15,11,20,1.4,5,0,2,2,7,0,1,76,9.2,733,11:49,28,64,171,194,46.8,lizotbl01
481,Alexander Nylander,25,TOT,LW,28,11,4,15,-1,6,1.7,9,2,0,2,4,0,0,72,15.3,455,16:15,12,12,9,10,47.4,nylanal01
482,Jamie Oleksiak,31,SEA,D,82,2,13,15,-2,37,3.7,2,0,0,0,11,0,2,108,1.9,1611,19:39,177,110,0,0,,oleksja01
483,Victor Olofsson,28,BUF,RW,51,7,8,15,-1,4,1.2,6,1,0,1,6,2,0,66,10.6,590,11:34,10,22,0,2,0.0,olofsvi01
484,Matthew Poitras,19,BOS,C,33,5,10,15,4,6,1.4,5,0,0,1,9,1,0,40,12.5,442,13:24,15,17,111,143,43.7,poitrma01
485,Conor Sheary,31,TBL,LW,57,4,11,15,-3,12,0.7,4,0,0,0,11,0,0,50,8.0,633,11:06,35,19,4,7,36.4,shearco01
486,Brendan Smith,34,NJD,D,63,5,10,15,-3,61,2.6,5,0,0,0,10,0,0,60,8.3,1014,16:06,101,117,0,0,,smithbr05
487,Kevin Stenlund,27,FLA,C,81,11,4,15,-10,62,0.6,9,0,2,3,4,0,0,81,13.6,1021,12:36,55,83,429,406,51.4,stenlke01
488,Trevor Zegras,22,ANA,C,31,6,9,15,-1,30,1.1,5,1,0,1,9,0,0,73,8.2,530,17:05,15,16,53,85,38.4,zegratr01
489,Justin Bailey,28,SJS,RW,59,5,9,14,-15,6,0.5,5,0,0,0,8,1,0,70,7.1,666,11:17,29,76,6,11,35.3,baileju01
490,Jacob Bernard-Docker,23,OTT,D,72,4,10,14,-7,25,2.2,4,0,0,0,9,0,1,51,7.8,1130,15:42,156,62,0,0,,bernaja01
491,Zach Bogosian,33,TOT,D,65,3,11,14,11,63,3.4,3,0,0,1,10,0,1,83,3.6,1162,17:53,83,109,0,0,,bogosza01
492,Jesper Boqvist,25,BOS,C,47,6,8,14,12,8,1.5,6,0,0,1,8,0,0,51,11.8,524,11:09,15,71,51,92,35.7,boqvije01
493,Brandon Carlo,27,BOS,D,76,4,10,14,23,42,4.7,4,0,0,1,10,0,0,79,5.1,1513,19:54,140,140,0,0,,carlobr01
